# x	y	u	v	flags	mask
5.7000e+01	3.7700e+02	2.3006e-01	3.1025e-01	0.0000e+00	0.0000e+00
9.9000e+01	3.7700e+02	4.0590e-01	-4.3757e-03	0.0000e+00	0.0000e+00
1.4100e+02	3.7700e+02	1.4961e-01	4.5030e-02	0.0000e+00	0.0000e+00
1.8300e+02	3.7700e+02	2.1951e-01	-2.6520e-01	0.0000e+00	0.0000e+00
2.2500e+02	3.7700e+02	-5.6393e-02	-2.9060e-01	0.0000e+00	0.0000e+00
2.6700e+02	3.7700e+02	-6.3228e-02	-3.5009e-01	0.0000e+00	0.0000e+00
3.0900e+02	3.7700e+02	-3.0513e-02	-2.5005e-01	0.0000e+00	0.0000e+00
3.5100e+02	3.7700e+02	3.6730e-01	-7.9211e-02	0.0000e+00	0.0000e+00
3.9300e+02	3.7700e+02	1.0519e-01	2.0358e-01	0.0000e+00	0.0000e+00
5.7000e+01	3.3500e+02	3.5214e-01	3.5152e-02	0.0000e+00	0.0000e+00
9.9000e+01	3.3500e+02	4.2172e-01	-1.5864e-02	0.0000e+00	0.0000e+00
1.4100e+02	3.3500e+02	3.3824e-01	-1.5762e-01	0.0000e+00	0.0000e+00
1.8300e+02	3.3500e+02	2.6421e-01	-2.3910e-01	0.0000e+00	0.0000e+00
2.2500e+02	3.3500e+02	3.7351e-02	-1.3769e-01	0.0000e+00	0.0000e+00
2.6700e+02	3.3500e+02	8.7507e-02	-2.0490e-01	0.0000e+00	0.0000e+00
3.0900e+02	3.3500e+02	-2.0542e-01	-6.7987e-02	0.0000e+00	0.0000e+00
3.5100e+02	3.3500e+02	-2.6060e-01	1.3199e-01	0.0000e+00	0.0000e+00
3.9300e+02	3.3500e+02	-3.8624e-01	5.0533e-01	0.0000e+00	0.0000e+00
5.7000e+01	2.9300e+02	5.3645e-01	-4.5043e-02	0.0000e+00	0.0000e+00
9.9000e+01	2.9300e+02	3.6041e-01	-1.2903e-01	0.0000e+00	0.0000e+00
1.4100e+02	2.9300e+02	2.5947e-01	-1.9941e-01	0.0000e+00	0.0000e+00
1.8300e+02	2.9300e+02	2.6009e-01	-3.8888e-01	0.0000e+00	0.0000e+00
2.2500e+02	2.9300e+02	8.3972e-02	-1.7738e-01	0.0000e+00	0.0000e+00
2.6700e+02	2.9300e+02	-6.8437e-02	-6.5198e-02	0.0000e+00	0.0000e+00
3.0900e+02	2.9300e+02	-3.5979e-01	1.1197e-01	0.0000e+00	0.0000e+00
3.5100e+02	2.9300e+02	-4.1350e-01	3.5567e-01	0.0000e+00	0.0000e+00
3.9300e+02	2.9300e+02	-3.1508e-01	3.4044e-01	0.0000e+00	0.0000e+00
5.7000e+01	2.5100e+02	6.9473e-01	-3.6342e-01	0.0000e+00	0.0000e+00
9.9000e+01	2.5100e+02	2.5833e-01	-2.8610e-01	0.0000e+00	0.0000e+00
1.4100e+02	2.5100e+02	2.0937e-01	-1.6821e-01	0.0000e+00	0.0000e+00
1.8300e+02	2.5100e+02	-5.3796e-02	-2.2321e-01	0.0000e+00	0.0000e+00
2.2500e+02	2.5100e+02	-1.3524e-01	-2.5091e-01	0.0000e+00	0.0000e+00
2.6700e+02	2.5100e+02	-3.4197e-01	1.9655e-01	0.0000e+00	0.0000e+00
